,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
150634,L5CLQLIMS3,35.0,86990.0,54496.0,534.0,47.0,1.0,10.24,24.0,0.83,Master's,Unemployed,Divorced,No,Yes,Auto,No,1.0
150642,YYV26HLHKU,37.0,39718.0,204440.0,624.0,0.0,4.0,23.3,48.0,0.36,High School,Unemployed,Divorced,Yes,No,Auto,Yes,1.0
150649,MTUEZT7HMF,64.0,67007.0,222098.0,825.0,8.0,1.0,11.53,48.0,0.18,PhD,Part-time,Married,Yes,No,Business,No,1.0
150659,WOWF02AZLP,52.0,16175.0,221806.0,373.0,7.0,2.0,14.83,60.0,0.79,Bachelor's,Self-employed,Single,Yes,Yes,Home,Yes,1.0
150673,AS26VBDUFE,20.0,126641.0,199695.0,317.0,13.0,2.0,6.62,36.0,0.13,Master's,Full-time,Married,Yes,No,Home,Yes,1.0
150725,YZO0Y4YVX2,53.0,59297.0,167851.0,306.0,75.0,4.0,8.36,48.0,0.81,High School,Unemployed,Married,No,Yes,Home,Yes,1.0
150727,UB1DXLTHOK,62.0,66640.0,212452.0,668.0,13.0,1.0,11.3,24.0,0.48,Bachelor's,Part-time,Divorced,No,No,Education,No,1.0
150742,F79B203LRL,23.0,130783.0,84304.0,507.0,10.0,3.0,9.36,24.0,0.11,PhD,Self-employed,Married,Yes,No,Auto,No,1.0
150759,K6NE20SE50,48.0,72235.0,244072.0,532.0,6.0,4.0,17.81,24.0,0.68,Master's,Full-time,Divorced,No,Yes,Other,No,1.0
150764,R15KA7NDDS,28.0,135595.0,228931.0,413.0,9.0,2.0,23.08,12.0,0.89,Bachelor's,Self-employed,Married,No,No,Auto,No,1.0
150778,6AYIRE5WYV,58.0,132622.0,190480.0,667.0,58.0,2.0,3.54,12.0,0.74,PhD,Full-time,Divorced,Yes,Yes,Auto,No,1.0
150786,IW2OYBXQSI,42.0,20834.0,245971.0,513.0,113.0,4.0,17.19,48.0,0.53,High School,Unemployed,Divorced,No,Yes,Home,Yes,1.0
150819,G1QKSHS47N,28.0,66620.0,191877.0,645.0,49.0,1.0,21.12,36.0,0.35,Bachelor's,Part-time,Single,No,No,Auto,No,1.0
150825,AA9GE3DQQM,25.0,127835.0,113373.0,844.0,35.0,3.0,4.55,36.0,0.27,PhD,Self-employed,Divorced,Yes,Yes,Business,Yes,1.0
150831,4593O9M4ZT,27.0,22106.0,91718.0,847.0,82.0,4.0,8.79,12.0,0.71,PhD,Full-time,Married,Yes,Yes,Home,Yes,1.0
150837,J207B758M7,18.0,124959.0,71984.0,504.0,82.0,2.0,23.36,24.0,0.38,PhD,Full-time,Married,No,Yes,Education,No,1.0
150841,WCAJI73D72,29.0,118928.0,239919.0,773.0,58.0,1.0,10.1,36.0,0.81,Bachelor's,Part-time,Divorced,No,No,Home,No,1.0
150865,IU19HN7D9H,36.0,67638.0,117341.0,520.0,71.0,4.0,14.76,36.0,0.78,Bachelor's,Unemployed,Single,No,No,Other,No,1.0
150872,G0CLNXXUW7,64.0,123162.0,231362.0,787.0,46.0,1.0,7.82,60.0,0.55,Master's,Part-time,Single,Yes,Yes,Business,No,1.0
150880,OF9S8GL1SD,22.0,18288.0,198365.0,423.0,68.0,1.0,15.4,36.0,0.58,Bachelor's,Self-employed,Married,Yes,Yes,Other,Yes,1.0
150884,9JQHA1CH0H,43.0,92520.0,159283.0,815.0,118.0,1.0,16.83,36.0,0.71,High School,Full-time,Single,Yes,No,Home,No,1.0
150897,V6HWKVI2SV,33.0,140089.0,158372.0,788.0,62.0,4.0,4.89,60.0,0.53,High School,Unemployed,Divorced,No,No,Education,No,1.0
150902,5HCHHW3DXY,21.0,125674.0,164199.0,304.0,107.0,2.0,20.67,12.0,0.67,Bachelor's,Unemployed,Divorced,Yes,No,Business,No,1.0
150925,TL9DXRVZRU,40.0,100945.0,185780.0,431.0,24.0,1.0,21.87,24.0,0.88,Bachelor's,Part-time,Divorced,Yes,Yes,Auto,No,1.0
150927,B16HXZ0QDO,22.0,64307.0,131979.0,704.0,46.0,3.0,11.78,24.0,0.64,PhD,Self-employed,Single,No,Yes,Business,No,1.0
150931,TXL0KG081U,23.0,26269.0,137920.0,412.0,17.0,3.0,16.53,36.0,0.51,PhD,Part-time,Single,No,No,Home,No,1.0
150944,P6PF115Y83,30.0,117025.0,227610.0,825.0,96.0,3.0,22.78,60.0,0.75,High School,Full-time,Single,Yes,Yes,Auto,Yes,1.0
150945,2WZ4B8NLQI,57.0,61909.0,172131.0,407.0,46.0,2.0,16.78,12.0,0.78,High School,Part-time,Single,No,Yes,Business,Yes,1.0
150948,DIAT9TOUPL,20.0,42348.0,248448.0,497.0,0.0,4.0,16.4,12.0,0.3,Bachelor's,Full-time,Single,Yes,No,Auto,Yes,1.0
150956,A6RUDFQ4JD,25.0,107996.0,192545.0,670.0,19.0,3.0,20.34,60.0,0.76,Bachelor's,Unemployed,Divorced,Yes,Yes,Business,Yes,1.0
150961,AOPOMYLKU2,40.0,17367.0,5149.0,736.0,64.0,2.0,24.59,24.0,0.73,Master's,Part-time,Divorced,Yes,No,Business,No,1.0
150970,J52KHEGBX4,30.0,100102.0,243426.0,372.0,79.0,4.0,5.95,24.0,0.16,High School,Self-employed,Divorced,Yes,No,Business,No,1.0
150982,AYJF9N37JJ,23.0,56699.0,93460.0,672.0,8.0,4.0,14.06,12.0,0.61,PhD,Self-employed,Single,Yes,No,Business,Yes,1.0
150989,CHD1VRII5Q,24.0,114743.0,109902.0,707.0,9.0,3.0,20.8,48.0,0.24,Bachelor's,Self-employed,Single,No,No,Business,No,1.0
150991,GNAY8EXI7D,24.0,129362.0,33392.0,526.0,15.0,1.0,3.54,12.0,0.73,PhD,Self-employed,Divorced,Yes,No,Business,Yes,1.0
150994,3Z5H5BKWKE,65.0,89445.0,46867.0,499.0,77.0,1.0,16.28,12.0,0.84,Bachelor's,Unemployed,Divorced,Yes,No,Other,No,1.0
151001,TW6JFBQOUG,47.0,50199.0,149164.0,580.0,19.0,1.0,16.35,36.0,0.56,Bachelor's,Unemployed,Married,Yes,No,Business,No,1.0
151005,ECCB6ZU6UQ,46.0,24952.0,79426.0,663.0,1.0,3.0,20.05,24.0,0.14,High School,Unemployed,Divorced,No,Yes,Other,No,1.0
151009,9S3PACG9B3,33.0,28792.0,234588.0,784.0,96.0,4.0,11.07,36.0,0.56,Bachelor's,Unemployed,Single,No,Yes,Education,Yes,1.0
151011,TP8Q53ACWO,18.0,28735.0,33534.0,401.0,76.0,3.0,11.43,24.0,0.76,Master's,Part-time,Divorced,Yes,No,Auto,No,1.0
151026,SR3EGLL8F5,21.0,63416.0,241502.0,414.0,61.0,4.0,13.29,12.0,0.48,PhD,Part-time,Married,Yes,No,Education,No,1.0
151027,JQBNHJIPYI,51.0,30606.0,196243.0,593.0,22.0,1.0,6.99,12.0,0.2,High School,Self-employed,Married,Yes,No,Business,No,1.0
151033,PYTRKAO140,40.0,73014.0,10213.0,401.0,39.0,3.0,9.9,36.0,0.68,Bachelor's,Full-time,Single,No,No,Education,No,1.0
151040,PK8G3HKRVM,29.0,145526.0,15432.0,573.0,42.0,1.0,17.12,12.0,0.87,High School,Full-time,Divorced,Yes,Yes,Business,No,1.0
151044,N3RQKTSWW4,18.0,23128.0,77483.0,579.0,36.0,2.0,16.94,48.0,0.75,High School,Full-time,Married,Yes,No,Auto,Yes,1.0
151055,KJAJXCYGDH,29.0,75462.0,16608.0,459.0,49.0,4.0,10.83,24.0,0.73,Master's,Unemployed,Divorced,No,No,Auto,No,1.0
151065,68H1KQWKQM,29.0,52805.0,242292.0,520.0,85.0,2.0,24.09,12.0,0.33,Master's,Unemployed,Single,Yes,Yes,Education,Yes,1.0
151077,RST50CJD9J,24.0,134033.0,24085.0,793.0,8.0,1.0,18.46,48.0,0.13,Bachelor's,Full-time,Divorced,No,No,Education,Yes,1.0
151079,U7VQL38X7B,37.0,27642.0,39792.0,359.0,19.0,3.0,22.51,36.0,0.34,PhD,Part-time,Divorced,Yes,Yes,Auto,Yes,1.0
151080,WD2GFOTN5X,27.0,124569.0,219567.0,352.0,23.0,4.0,19.3,48.0,0.5,Bachelor's,Self-employed,Divorced,No,No,Business,No,1.0
151082,8AZQN9JHM9,32.0,71830.0,214280.0,741.0,35.0,2.0,23.82,12.0,0.51,Master's,Part-time,Single,No,Yes,Business,Yes,1.0
151085,FK8DVZP081,21.0,97210.0,97005.0,832.0,69.0,4.0,24.13,36.0,0.17,Master's,Full-time,Divorced,No,Yes,Business,No,1.0
151088,1MHXEHG6GU,26.0,46848.0,200812.0,733.0,1.0,4.0,23.39,12.0,0.28,Master's,Unemployed,Single,No,Yes,Home,Yes,1.0
151096,Q718J18E1U,22.0,140037.0,86518.0,420.0,28.0,1.0,9.19,60.0,0.47,Master's,Full-time,Single,Yes,No,Home,Yes,1.0
151097,FY2GLN6TAT,19.0,85943.0,29888.0,824.0,115.0,3.0,21.03,48.0,0.26,Bachelor's,Unemployed,Single,Yes,Yes,Home,No,1.0
151108,64HE4N5YJ6,49.0,43775.0,108272.0,746.0,95.0,3.0,24.33,60.0,0.73,High School,Full-time,Married,No,No,Education,No,1.0
151111,RZLW5KH6CX,58.0,17357.0,230010.0,619.0,14.0,4.0,3.92,24.0,0.59,Master's,Full-time,Divorced,Yes,No,Other,No,1.0
151119,A4LPMU27HX,39.0,20505.0,227489.0,567.0,109.0,2.0,12.36,24.0,0.52,PhD,Self-employed,Divorced,No,Yes,Other,No,1.0
151128,B2MNBR2VRY,20.0,29419.0,139695.0,753.0,84.0,3.0,15.57,24.0,0.9,High School,Unemployed,Divorced,No,No,Education,Yes,1.0
151152,QR7IX8XHHD,28.0,149046.0,170770.0,564.0,48.0,4.0,19.96,36.0,0.58,Master's,Unemployed,Married,No,Yes,Other,No,1.0
151158,RDV9Q260ZE,34.0,29647.0,160469.0,387.0,16.0,1.0,6.55,48.0,0.76,Bachelor's,Unemployed,Married,Yes,No,Home,Yes,1.0
151168,CK0XXWTAY4,32.0,112367.0,166605.0,443.0,119.0,2.0,13.09,24.0,0.77,Master's,Self-employed,Divorced,Yes,No,Education,No,1.0
151178,60MDI1II61,19.0,18531.0,59193.0,724.0,44.0,4.0,14.58,24.0,0.64,Bachelor's,Part-time,Divorced,No,No,Other,No,1.0
151193,VKWGSPVGI1,46.0,29494.0,183761.0,358.0,12.0,1.0,12.66,60.0,0.3,High School,Part-time,Divorced,No,Yes,Business,Yes,1.0
151197,8C1BMMXCYN,31.0,76225.0,176776.0,520.0,32.0,3.0,19.43,48.0,0.63,Bachelor's,Self-employed,Married,No,No,Business,No,1.0
151202,5K4Z302T2S,68.0,99659.0,234921.0,618.0,16.0,4.0,15.63,12.0,0.79,Bachelor's,Self-employed,Married,Yes,Yes,Education,No,1.0
151204,AYHKQIW8CM,21.0,110566.0,40239.0,540.0,54.0,4.0,4.05,48.0,0.57,Master's,Unemployed,Divorced,No,No,Auto,No,1.0
151214,21A94ZTNWU,36.0,43747.0,141258.0,753.0,62.0,3.0,23.81,48.0,0.15,PhD,Self-employed,Married,Yes,No,Auto,No,1.0
151224,0Y1CUT0343,44.0,126059.0,72857.0,355.0,61.0,4.0,12.4,60.0,0.76,Master's,Part-time,Divorced,No,Yes,Home,Yes,1.0
151238,7JHMKZEHNK,37.0,142377.0,224577.0,845.0,30.0,3.0,13.38,36.0,0.21,Master's,Part-time,Divorced,No,No,Auto,No,1.0
151239,OFZ6HSHTXM,19.0,17123.0,23766.0,711.0,49.0,3.0,24.67,24.0,0.2,High School,Full-time,Married,No,Yes,Auto,No,1.0
151241,CTXPF3WHOL,26.0,48068.0,83419.0,541.0,16.0,3.0,20.2,48.0,0.47,PhD,Part-time,Divorced,Yes,Yes,Education,Yes,1.0
151250,UNUJZ4EADP,21.0,35616.0,170070.0,794.0,17.0,4.0,24.55,48.0,0.29,High School,Self-employed,Married,Yes,No,Other,Yes,1.0
151251,RQP6UAAOJW,64.0,40714.0,30241.0,790.0,107.0,1.0,18.89,36.0,0.57,High School,Unemployed,Married,No,Yes,Education,No,1.0
151264,PR56KJ9ANP,26.0,83348.0,239836.0,411.0,6.0,2.0,18.22,60.0,0.26,PhD,Part-time,Single,Yes,No,Business,No,1.0
151272,EYDCLVUQVH,34.0,47507.0,247996.0,341.0,68.0,2.0,5.92,36.0,0.56,High School,Part-time,Married,No,Yes,Other,No,1.0
151291,PN5H7QCNW7,52.0,28190.0,159214.0,716.0,104.0,2.0,20.02,48.0,0.75,High School,Unemployed,Married,No,Yes,Business,No,1.0
151295,B0XFBVUEQS,63.0,148111.0,130974.0,513.0,31.0,1.0,3.16,36.0,0.61,PhD,Self-employed,Single,No,Yes,Business,Yes,1.0
151298,X7N5369YR7,27.0,30541.0,101286.0,520.0,44.0,3.0,16.11,36.0,0.44,Master's,Unemployed,Divorced,No,Yes,Education,Yes,1.0
151299,HDL8LAAHFC,46.0,138949.0,147064.0,744.0,49.0,1.0,21.69,48.0,0.29,PhD,Unemployed,Divorced,No,No,Business,Yes,1.0
151303,OR01K26QOT,63.0,149224.0,203555.0,553.0,62.0,1.0,6.56,12.0,0.55,Bachelor's,Self-employed,Single,No,No,Home,Yes,1.0
151304,QX50FM8J3C,39.0,19171.0,163815.0,499.0,55.0,4.0,19.1,36.0,0.51,PhD,Part-time,Divorced,Yes,No,Auto,Yes,1.0
151308,7L27B2WND1,22.0,142085.0,207093.0,469.0,95.0,2.0,9.28,36.0,0.27,High School,Unemployed,Divorced,Yes,No,Home,No,1.0
151315,5LRRU11DX3,21.0,108624.0,17243.0,677.0,68.0,1.0,21.56,60.0,0.69,Master's,Self-employed,Divorced,No,No,Other,No,1.0
151324,HO2XFVAYU7,31.0,97024.0,136675.0,420.0,28.0,2.0,6.81,36.0,0.61,High School,Full-time,Single,Yes,No,Other,No,1.0
151326,IEFS7R740B,24.0,18975.0,185689.0,513.0,92.0,2.0,23.92,12.0,0.55,Master's,Unemployed,Divorced,No,No,Education,No,1.0
151329,IS4FF4HTJ4,19.0,36012.0,127991.0,432.0,11.0,2.0,24.95,60.0,0.77,High School,Unemployed,Divorced,Yes,No,Education,No,1.0
151339,99EC2IHKF2,34.0,88238.0,135599.0,720.0,98.0,1.0,14.07,60.0,0.29,PhD,Unemployed,Married,Yes,Yes,Education,No,1.0
151341,O9SIMMSADP,39.0,16149.0,223352.0,304.0,42.0,4.0,12.28,24.0,0.52,Bachelor's,Part-time,Single,Yes,Yes,Auto,No,1.0
151345,QM0SZ5J4A6,37.0,60547.0,76811.0,470.0,70.0,2.0,21.87,36.0,0.45,PhD,Self-employed,Single,No,No,Education,No,1.0
151346,NREU5HFVLF,28.0,24362.0,200324.0,366.0,3.0,3.0,23.78,60.0,0.75,Master's,Unemployed,Single,Yes,Yes,Education,Yes,1.0
151360,N5FUNVOBK5,28.0,139616.0,152547.0,797.0,70.0,3.0,23.14,36.0,0.11,Bachelor's,Self-employed,Divorced,No,Yes,Education,Yes,1.0
151413,E1LGI9QM60,51.0,33737.0,129131.0,678.0,45.0,4.0,17.7,24.0,0.85,High School,Part-time,Single,No,Yes,Other,Yes,1.0
151414,55I8ZOSCKD,40.0,45024.0,214968.0,396.0,43.0,4.0,21.55,36.0,0.54,High School,Unemployed,Divorced,No,Yes,Home,No,1.0
151425,CSSDN5WR2E,57.0,30823.0,32239.0,674.0,22.0,4.0,8.75,12.0,0.13,Master's,Part-time,Married,Yes,No,Other,No,1.0
151430,GK6RAY3F0Z,64.0,16677.0,87383.0,308.0,95.0,3.0,6.42,24.0,0.36,Master's,Self-employed,Single,No,Yes,Home,Yes,1.0
151451,5GEL3VWF1D,21.0,55509.0,136427.0,717.0,49.0,3.0,23.11,60.0,0.16,Bachelor's,Self-employed,Married,No,No,Business,Yes,1.0
151453,ZEQWU4YKN8,18.0,84663.0,179054.0,379.0,34.0,4.0,18.85,36.0,0.37,PhD,Part-time,Married,Yes,Yes,Business,Yes,1.0
151454,VFHVKWX7WR,44.0,62817.0,215989.0,471.0,12.0,3.0,20.18,60.0,0.4,Master's,Unemployed,Married,Yes,Yes,Education,Yes,1.0
151458,VDYT0VZJKO,45.0,110762.0,67578.0,475.0,5.0,3.0,22.63,36.0,0.6,PhD,Self-employed,Single,No,Yes,Business,Yes,1.0
151460,JJTNEHK9IW,56.0,18419.0,92511.0,764.0,60.0,2.0,22.53,24.0,0.56,Bachelor's,Full-time,Married,No,Yes,Education,Yes,1.0
151463,YVH9789AJQ,20.0,146765.0,132216.0,371.0,13.0,3.0,9.64,12.0,0.74,PhD,Self-employed,Married,No,No,Other,No,1.0
151475,6HA519MO4R,51.0,16699.0,108469.0,334.0,19.0,3.0,19.32,48.0,0.11,High School,Unemployed,Married,Yes,No,Auto,Yes,1.0
151478,JZ050CRRM9,49.0,100029.0,127087.0,528.0,8.0,4.0,17.55,36.0,0.53,Master's,Self-employed,Single,No,Yes,Auto,Yes,1.0
151482,FTBU0155VR,46.0,94533.0,104742.0,338.0,96.0,3.0,24.37,60.0,0.22,PhD,Unemployed,Married,Yes,Yes,Other,Yes,1.0
151488,M4Q5PCMNDP,30.0,15966.0,244571.0,830.0,73.0,1.0,8.06,12.0,0.11,High School,Full-time,Married,Yes,No,Other,No,1.0
151495,MT6C5QJ8JO,32.0,80456.0,95953.0,590.0,112.0,3.0,21.56,36.0,0.41,Master's,Self-employed,Divorced,No,No,Auto,No,1.0
151497,I6YPIEPITV,25.0,15711.0,249231.0,400.0,43.0,2.0,22.57,60.0,0.88,PhD,Self-employed,Married,No,Yes,Business,No,1.0
151513,996Y97H19D,30.0,99914.0,91783.0,461.0,40.0,1.0,24.39,36.0,0.85,High School,Unemployed,Single,No,Yes,Business,Yes,1.0
151518,1Q4H2W0RQE,23.0,77495.0,98742.0,839.0,115.0,1.0,20.73,48.0,0.46,High School,Self-employed,Single,Yes,Yes,Business,No,1.0
151522,6KT2YHH9P0,33.0,62942.0,202571.0,425.0,11.0,1.0,24.35,36.0,0.48,PhD,Unemployed,Married,No,Yes,Other,Yes,1.0
151528,2KJUL1T4XX,39.0,109457.0,43784.0,818.0,119.0,2.0,21.18,48.0,0.54,High School,Unemployed,Divorced,Yes,Yes,Other,No,1.0
151532,6ESO6RE0H0,18.0,133982.0,37219.0,510.0,93.0,1.0,24.99,24.0,0.36,Bachelor's,Full-time,Divorced,Yes,Yes,Other,Yes,1.0
151539,I10A5XYFBY,56.0,135256.0,70587.0,481.0,91.0,1.0,21.68,48.0,0.31,High School,Self-employed,Single,No,Yes,Auto,No,1.0
151540,FCQZWCU009,27.0,18773.0,181339.0,553.0,71.0,1.0,21.17,12.0,0.71,Bachelor's,Unemployed,Single,No,No,Home,Yes,1.0
151546,484QP3LUK3,51.0,106613.0,225184.0,819.0,78.0,3.0,22.34,60.0,0.73,High School,Unemployed,Married,Yes,No,Education,Yes,1.0
151549,NQOJ7XXL6Q,36.0,117490.0,219624.0,527.0,13.0,4.0,13.77,12.0,0.34,Master's,Unemployed,Divorced,Yes,No,Business,Yes,1.0
151581,T8II7DHNIJ,29.0,145424.0,66438.0,533.0,11.0,1.0,17.06,48.0,0.15,High School,Unemployed,Single,Yes,No,Education,No,1.0
151609,GFP5K0AYEM,34.0,121725.0,179814.0,373.0,9.0,4.0,22.73,12.0,0.62,Bachelor's,Part-time,Married,No,No,Education,No,1.0
151634,YH3RTLWMEB,64.0,99574.0,199327.0,300.0,96.0,3.0,21.63,12.0,0.58,PhD,Part-time,Divorced,No,No,Auto,Yes,1.0
151638,T3I7H04NNL,49.0,37440.0,91652.0,377.0,35.0,4.0,5.98,60.0,0.1,Bachelor's,Self-employed,Married,Yes,No,Other,No,1.0
151645,WMINVITHQV,25.0,98944.0,158387.0,384.0,75.0,4.0,13.39,36.0,0.89,Master's,Unemployed,Single,Yes,Yes,Auto,Yes,1.0
151651,TXU61HTRI8,29.0,56252.0,98154.0,417.0,25.0,1.0,21.94,12.0,0.48,PhD,Part-time,Single,No,No,Other,Yes,1.0
151655,8RRAGU4X1M,39.0,84728.0,54605.0,792.0,106.0,4.0,23.94,60.0,0.41,PhD,Unemployed,Divorced,Yes,Yes,Other,No,1.0
151672,GK6M9PXZQD,20.0,107554.0,230039.0,301.0,67.0,2.0,13.18,60.0,0.42,Master's,Unemployed,Divorced,No,No,Other,Yes,1.0
151674,GBCWVJ3H5S,32.0,28549.0,126460.0,349.0,4.0,4.0,18.41,36.0,0.69,PhD,Part-time,Single,Yes,No,Other,Yes,1.0
151688,M5QN26U7DM,32.0,52344.0,121334.0,406.0,66.0,4.0,19.47,36.0,0.47,High School,Part-time,Married,No,Yes,Home,Yes,1.0
151690,GNHIS0TMAA,20.0,120866.0,99421.0,754.0,6.0,2.0,4.1,60.0,0.8,PhD,Unemployed,Single,No,No,Business,Yes,1.0
151695,9GPL2UFNQ8,52.0,20212.0,5294.0,454.0,28.0,1.0,20.73,12.0,0.27,Bachelor's,Full-time,Divorced,Yes,Yes,Other,No,1.0
151702,SWJJ5QJDUM,27.0,43088.0,25520.0,480.0,33.0,2.0,15.76,36.0,0.44,High School,Full-time,Married,Yes,No,Business,Yes,1.0
151703,6MNCRXO3ZW,40.0,112907.0,20238.0,572.0,58.0,2.0,19.6,60.0,0.67,Bachelor's,Self-employed,Married,No,Yes,Business,Yes,1.0
151711,PEE34YJ06Z,30.0,72230.0,171800.0,630.0,48.0,1.0,18.11,24.0,0.12,High School,Self-employed,Divorced,No,Yes,Education,No,1.0
151723,9CEVK4ZN5I,26.0,95979.0,92904.0,418.0,61.0,4.0,13.42,24.0,0.35,High School,Unemployed,Married,Yes,Yes,Auto,No,1.0
151736,CRRE71SYNQ,30.0,15049.0,41355.0,617.0,62.0,3.0,22.93,36.0,0.54,Bachelor's,Unemployed,Married,Yes,Yes,Home,No,1.0
151746,VFESCDY22D,19.0,59067.0,84268.0,335.0,31.0,4.0,13.37,48.0,0.72,Bachelor's,Unemployed,Single,No,No,Business,Yes,1.0
151759,25EJ0UM40M,31.0,52793.0,177634.0,401.0,25.0,4.0,13.18,48.0,0.58,PhD,Self-employed,Single,Yes,No,Business,Yes,1.0
151768,NCK35WC32K,26.0,29354.0,143559.0,323.0,37.0,3.0,17.62,24.0,0.23,PhD,Self-employed,Single,Yes,No,Education,No,1.0
151769,5WRHSTOFAO,60.0,47280.0,39798.0,346.0,63.0,3.0,16.88,36.0,0.54,High School,Self-employed,Divorced,No,Yes,Other,No,1.0
151810,Z1PE5X9NDS,21.0,105366.0,58812.0,446.0,18.0,4.0,13.85,60.0,0.32,Master's,Unemployed,Divorced,No,Yes,Business,Yes,1.0
151811,8JGY905W1T,20.0,116138.0,161188.0,760.0,58.0,4.0,17.13,36.0,0.36,Bachelor's,Unemployed,Married,Yes,Yes,Business,Yes,1.0
151815,54YNH0KUMT,37.0,88882.0,232063.0,758.0,3.0,4.0,24.81,12.0,0.35,Master's,Full-time,Single,No,Yes,Education,No,1.0
151820,KKBJTIML7O,21.0,59663.0,199309.0,523.0,91.0,1.0,15.14,36.0,0.85,High School,Unemployed,Single,No,No,Business,Yes,1.0
151831,YWR9ZQUYR0,20.0,93095.0,10147.0,696.0,69.0,4.0,21.99,36.0,0.33,Bachelor's,Part-time,Single,No,Yes,Other,Yes,1.0
151842,UWE39I9G0C,27.0,18347.0,167617.0,403.0,49.0,4.0,24.69,48.0,0.87,Bachelor's,Part-time,Single,Yes,Yes,Education,Yes,1.0
151848,1NKUCHBUWW,34.0,25491.0,130295.0,536.0,15.0,4.0,18.74,48.0,0.17,PhD,Self-employed,Single,No,Yes,Education,No,1.0
151874,SDVLP3GA3H,21.0,31542.0,171672.0,384.0,45.0,2.0,16.89,48.0,0.47,PhD,Self-employed,Divorced,No,No,Education,Yes,1.0
151875,W022AC1EM2,29.0,57729.0,124930.0,602.0,118.0,2.0,14.62,36.0,0.33,Master's,Part-time,Divorced,Yes,No,Business,No,1.0
151879,OQLBTFHYWZ,65.0,19267.0,219536.0,301.0,107.0,2.0,19.79,48.0,0.4,High School,Self-employed,Divorced,No,No,Auto,No,1.0
151891,7EJZGIINR9,30.0,132118.0,197550.0,774.0,83.0,2.0,12.63,48.0,0.32,Bachelor's,Full-time,Married,No,Yes,Education,Yes,1.0
151896,PV3O79TWQN,35.0,16274.0,190746.0,744.0,90.0,3.0,8.28,36.0,0.35,PhD,Part-time,Divorced,Yes,Yes,Education,Yes,1.0
151901,EWRSLTDVU0,29.0,100262.0,78639.0,569.0,77.0,4.0,9.2,24.0,0.69,Master's,Full-time,Divorced,Yes,Yes,Business,Yes,1.0
151907,66G9WTGRO5,45.0,96092.0,118830.0,744.0,19.0,3.0,13.01,48.0,0.25,Bachelor's,Part-time,Single,No,No,Business,Yes,1.0
151911,KDI5T3FW11,61.0,98903.0,31656.0,669.0,4.0,1.0,11.89,60.0,0.32,PhD,Self-employed,Divorced,Yes,No,Auto,No,1.0
151922,77P055JA83,26.0,106513.0,218096.0,766.0,37.0,3.0,17.06,60.0,0.73,Master's,Part-time,Divorced,Yes,Yes,Home,Yes,1.0
151927,112C8YSZMD,58.0,33482.0,37531.0,754.0,72.0,1.0,19.15,36.0,0.29,Master's,Unemployed,Married,Yes,Yes,Other,Yes,1.0
151929,BLPEWLX1F1,23.0,77674.0,176374.0,816.0,17.0,4.0,10.73,36.0,0.88,Bachelor's,Part-time,Married,Yes,No,Education,No,1.0
151938,I3OX13XR8K,41.0,33648.0,210208.0,690.0,44.0,4.0,22.82,48.0,0.79,PhD,Full-time,Single,Yes,Yes,Business,Yes,1.0
151948,KI168UDP5F,42.0,66794.0,120860.0,770.0,24.0,3.0,14.01,12.0,0.52,PhD,Part-time,Married,Yes,Yes,Other,Yes,1.0
151952,8VKLC3ZKUP,29.0,35934.0,102545.0,431.0,64.0,2.0,11.42,12.0,0.71,High School,Unemployed,Married,No,No,Home,Yes,1.0
151954,2KD037PAOZ,61.0,144794.0,16515.0,429.0,101.0,4.0,3.22,36.0,0.43,High School,Part-time,Divorced,No,No,Other,Yes,1.0
151963,HXXVRQ7CJH,38.0,142892.0,13525.0,505.0,43.0,4.0,18.6,48.0,0.57,PhD,Self-employed,Married,Yes,No,Home,Yes,1.0
151977,11ILL81U0Y,52.0,99012.0,36878.0,316.0,4.0,3.0,16.43,48.0,0.34,Master's,Part-time,Single,No,No,Education,No,1.0
151982,P0PDTB1623,24.0,122800.0,191793.0,581.0,78.0,3.0,20.09,36.0,0.72,High School,Unemployed,Single,No,Yes,Auto,Yes,1.0
151983,52T5KJTXLD,38.0,16443.0,165912.0,826.0,107.0,1.0,22.25,12.0,0.87,PhD,Self-employed,Single,No,Yes,Education,Yes,1.0
151990,Y7UOHRE2FS,32.0,51404.0,235242.0,339.0,53.0,1.0,7.97,60.0,0.44,Master's,Self-employed,Single,No,Yes,Education,No,1.0
151996,SJYX54LHIZ,30.0,113127.0,131340.0,393.0,19.0,2.0,20.94,60.0,0.31,Bachelor's,Part-time,Single,No,Yes,Education,Yes,1.0
152004,GOY7PHAV2E,18.0,72942.0,94142.0,604.0,86.0,4.0,21.32,36.0,0.47,Bachelor's,Unemployed,Married,No,Yes,Home,No,1.0
152034,KZ1FLGP96Y,26.0,40683.0,97278.0,539.0,5.0,3.0,14.14,48.0,0.64,Bachelor's,Self-employed,Single,Yes,No,Other,No,1.0
152040,D76XIKP1N4,62.0,29348.0,169553.0,313.0,43.0,4.0,4.25,60.0,0.6,Master's,Self-employed,Married,No,Yes,Business,Yes,1.0
152059,BF8J0QA18X,25.0,145893.0,67645.0,685.0,70.0,4.0,24.68,60.0,0.77,PhD,Full-time,Married,Yes,No,Auto,No,1.0
